timestamp,notebook,cell_id,runtime_sec,cpu_util_avg,gpu_util_avg,cpu_power_w,gpu_power_w,energy_kwh,co2_g,hardware_type,hardware_name,cpu_temp_c,gpu_temp_c,gpu_mem_used_mb,gpu_mem_free_mb,gpu_mem_total_mb,notes
2025-11-17T02:14:21,Cluster_KMEans,1,0.2198200225830078,93.85,0.0,34.51,0,2.1072191609276666e-06,0.0010009291014406415,CPU,No GPU,0.0,0,0,0,0,
2025-11-17T02:14:22,Cluster_KMEans,2,0.3129088878631592,99.8,0.0,35.0,0,3.042169743114048e-06,0.0014450306279791725,CPU,No GPU,0.0,0,0,0,0,
2025-11-17T02:14:29,Cluster_KMEans,3,0.06686735153198242,72.6,0.0,26.495,0,4.921251330110763e-07,0.00023375943818026122,CPU,No GPU,0.0,0,0,0,0,
2025-11-17T02:14:29,Cluster_KMEans,4,0.12511730194091797,94.44999999999999,0.0,32.934999999999995,0,1.1446495387289256e-06,0.0005437085308962397,CPU,No GPU,0.0,0,0,0,0,
2025-11-17T02:14:30,Cluster_KMEans,5,0.1625049114227295,96.65,0.0,33.74,0,1.5230321420563592e-06,0.0007234402674767705,CPU,No GPU,0.0,0,0,0,0,
2025-11-17T02:14:30,Cluster_KMEans,6,0.2774655818939209,98.15,0.0,34.754999999999995,0,2.678698971867561e-06,0.0012723820116370913,CPU,No GPU,0.0,0,0,0,0,
2025-11-17T02:14:31,Cluster_KMEans,7,0.07453393936157227,88.75,0.0,31.395,0,6.499980628490448e-07,0.00030874907985329627,CPU,No GPU,0.0,0,0,0,0,
2025-11-17T02:14:33,Cluster_KMEans,8,2.209730386734009,75.6,0.0,29.504999999999995,0,1.8110581961274145e-05,0.008602526431605218,CPU,No GPU,0.0,0,0,0,0,
2025-11-17T02:14:33,Cluster_KMEans,9,0.10539746284484863,94.6,0.0,35.0,0,1.0246975554360282e-06,0.0004867313388321134,CPU,No GPU,0.0,0,0,0,0,
2025-11-17T02:14:34,Cluster_KMEans,10,0.13328194618225098,93.95,0.0,33.425,0,1.2374858475393718e-06,0.0005878057775812015,CPU,No GPU,0.0,0,0,0,0,
2025-11-17T02:14:34,Cluster_KMEans,11,0.09736132621765137,98.75,0.0,35.0,0,9.465684493382772e-07,0.0004496200134356816,CPU,No GPU,0.0,0,0,0,0,
2025-11-17T02:14:34,Cluster_KMEans,12,0.08364272117614746,83.55,0.0,27.859999999999996,0,6.473017255465189e-07,0.00030746831963459644,CPU,No GPU,0.0,0,0,0,0,
2025-11-17T02:14:44,Cluster_KMEans,13,0.18250370025634766,70.65,0.0,28.279999999999998,0,1.4336679564581975e-06,0.0006809922793176438,CPU,No GPU,0.0,0,0,0,0,
2025-11-17T02:14:45,Cluster_KMEans,14,0.10726571083068848,97.05,0.0,35.0,0,1.0428610775205824e-06,0.0004953590118222766,CPU,No GPU,0.0,0,0,0,0,
2025-11-17T02:14:51,Cluster_KMEans,15,5.6855127811431885,92.55000000000001,0.0,31.744999999999997,0,5.013516756594181e-05,0.023814204593822358,CPU,No GPU,0.0,0,0,0,0,
2025-11-17T02:14:51,Cluster_KMEans,16,0.09936189651489258,99.55,0.0,35.0,0,9.660184383392334e-07,0.00045885875821113583,CPU,No GPU,0.0,0,0,0,0,
2025-11-17T02:14:51,Cluster_KMEans,17,0.13909268379211426,96.6,0.0,35.0,0,1.3522899813122218e-06,0.0006423377411233053,CPU,No GPU,0.0,0,0,0,0,
2025-11-17T02:14:51,Cluster_KMEans,18,0.10537195205688477,88.45,0.0,30.695,0,8.984422412183549e-07,0.00042676006457871855,CPU,No GPU,0.0,0,0,0,0,
2025-11-17T02:14:52,Cluster_KMEans,19,0.0792543888092041,88.5,0.0,31.674999999999997,0,6.973285459809832e-07,0.00033123105934096706,CPU,No GPU,0.0,0,0,0,0,
2025-11-17T02:14:52,Cluster_KMEans,20,0.11899185180664062,90.85,0.0,35.0,0,1.156865225897895e-06,0.0005495109823015001,CPU,No GPU,0.0,0,0,0,0,
